instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
at62_ftv44,,3.5,,,28.5714,7.0,5.0,16230068,7200,7200.02,,
t62_st70,,3.16667,,,50.0,8.0,4.0,2347764,7200,7200.05,,
at62_ftv35,,4.0,6.0,,0.0,6.0,6.0,7226,7200,37.13,,
t62_gr24,,4.0,5.0,,0.0,5.0,5.0,31,7200,1.07,,
t84_gr48,,5.25555,,,0.0,8.0,8.0,3666731,7200,6977.52,,
at84_ftv64,,5.02871,,,50.0,14.0,7.0,379490,7200,7200.04,,
at84_ft70,,1.82236,9.0,,33.3333,9.0,6.0,1715968,7200,7200.03,,
t84_gr24,,7.0,,,0.0,7.0,7.0,39,7200,1.04,,
t84_kroD100,,6.0,10.0,,30.0,10.0,7.0,31356,7200,7200.31,,
t84_fri26,,6.20131,8.0,,0.0,8.0,8.0,154,7200,1.07,,
t84_bays29,,6.0,,,0.0,8.0,8.0,2881,7200,9.18,,
at62_p43,,,1.0,,0.0,1.0,1.0,0,7200,0.04,,
t62_gr96,,3.0,7.0,,28.5714,7.0,5.0,1923643,7200,7200.1,,
at62_kro124p,,2.28289,7.0,,42.8571,7.0,4.0,201373,7200,7200.16,,
at62_ftv38,,3.0,,,16.6667,6.0,5.0,26871009,7200,7200.01,,
t62_berlin52,,4.0,6.0,,0.0,6.0,6.0,3432250,7200,3255.13,,
t62_kroE100,,3.17466,7.0,,28.5714,7.0,5.0,1369376,7200,7200.14,,
at84_kro124p,,2.57721,10.0,,40.0,10.0,6.0,100917,7200,7200.07,,
t84_pr76,,6.0,9.0,,22.2222,9.0,7.0,1069936,7200,7200.11,,
at62_ftv47,,3.33333,6.0,,0.0,6.0,6.0,839258,7200,722.31,,
t84_st70,,5.0,,,53.3333,15.0,7.0,92661,7200,7200.05,,
at84_ftv38,,6.07289,,,0.0,9.0,9.0,386330,7200,768.19,,
at84_ftv35,,7.0,,,0.0,9.0,9.0,50768,7200,158.57,,
t84_eil76,,5.0,,,60.0,15.0,6.0,597038,7200,7200.05,,
t62_kroB100,,3.0,8.0,,37.5,8.0,5.0,1217667,7200,7200.17,,
t62_eil51,,3.1558,,,28.5714,7.0,5.0,17552757,7200,7200.03,,
t84_rat99,,5.0,,,64.7059,17.0,6.0,47621,7200,7200.05,,
t84_swiss42,,7.0,,,0.0,9.0,9.0,58597,7200,192.54,,
t62_att48,,5.0,6.0,,0.0,6.0,6.0,2783,7200,37.15,,
t84_kroB100,,5.06489,9.0,,33.3333,9.0,6.0,12400,7200,7200.1,,
t84_ulysses16,,6.0,6.0,,0.0,6.0,6.0,1,7200,0.05,,
at84_ftv55,,5.0,,,36.3636,11.0,7.0,374504,7200,7200.03,,
t62_brazil58,,3.0,6.0,,16.6667,6.0,5.0,15286664,7200,7200.08,,
t62_fri26,,5.0,,,0.0,6.0,6.0,1547,7200,3.29,,
at84_ftv44,,6.0,,,11.1111,9.0,8.0,2245506,7200,7200.03,,
at84_ft53,,3.0,8.0,,25.0,8.0,6.0,5210673,7200,7200.02,,
t84_kroE100,,5.1406,10.0,,40.0,10.0,6.0,14666,7200,7200.09,,
