instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
at62_ftv44,,3.4,8.0,,28.5714,7.0,5.0,10118677,7200,7200.01,,
t62_st70,,3.16667,7.0,,28.5714,7.0,5.0,6432455,7200,7200.04,,
at62_ftv35,,4.0,7.0,,0.0,6.0,6.0,14828814,7200,3285.28,,
t62_gr24,,4.0,6.0,,0.0,5.0,5.0,25,7200,1.1,,
t84_gr48,,5.25293,9.0,,11.1111,9.0,8.0,9427085,7200,7200.02,,
at84_ftv64,,5.03603,11.0,,36.3636,11.0,7.0,358873,7200,7200.03,,
at84_ft70,,1.82236,9.0,,33.3333,9.0,6.0,1727481,7200,7200.03,,
t84_gr24,,,7.0,,0.0,7.0,7.0,1,7200,0.22,,
t84_kroD100,,6.0,10.0,,30.0,10.0,7.0,24214,7200,7200.07,,
t84_fri26,,6.20131,8.0,,0.0,8.0,8.0,154,7200,1.1,,
t84_bays29,,6.0,8.0,,0.0,8.0,8.0,1018,7200,7.41,,
at62_p43,,,1.0,,0.0,1.0,1.0,0,7200,0.06,,
t62_gr96,,3.0,7.0,,28.5714,7.0,5.0,1917562,7200,7200.08,,
at62_kro124p,,2.28289,7.0,,42.8571,7.0,4.0,202101,7200,7200.07,,
at62_ftv38,,3.0,6.0,,16.6667,6.0,5.0,36061643,7200,7200.08,,
t62_berlin52,,4.0,7.0,,14.2857,7.0,6.0,14358987,7200,7200.02,,
t62_kroE100,,3.17466,7.0,,28.5714,7.0,5.0,1361385,7200,7200.1,,
at84_kro124p,,2.57721,10.0,,40.0,10.0,6.0,71479,7200,7200.09,,
t84_pr76,,6.0,10.0,,30.0,10.0,7.0,137363,7200,7200.05,,
at62_ftv47,,3.33606,8.0,,14.2857,7.0,6.0,6819795,7200,7200.05,,
t84_st70,,5.13011,10.0,,22.2222,9.0,7.0,401218,7200,7200.06,,
at84_ftv38,,6.05892,10.0,,0.0,9.0,9.0,278079,7200,546.88,,
at84_ftv35,,7.0,10.0,,0.0,9.0,9.0,26250,7200,165.55,,
t84_eil76,,5.0,10.0,,30.0,10.0,7.0,730776,7200,7200.05,,
t62_kroB100,,3.0,8.0,,37.5,8.0,5.0,618315,7200,7276.46,,
t62_eil51,,3.15225,7.0,,28.5714,7.0,5.0,13281898,7200,7200.02,,
t84_rat99,,5.0,10.0,,30.0,10.0,7.0,146129,7200,7200.04,,
t84_swiss42,,7.0,9.0,,0.0,9.0,9.0,53847,7200,233.13,,
t62_att48,,5.0,8.0,,0.0,6.0,6.0,2278842,7200,1096.1,,
t84_kroB100,,5.06277,10.0,,40.0,10.0,6.0,4821,7200,7200.06,,
t84_ulysses16,,6.0,6.0,,0.0,6.0,6.0,1,7200,0.05,,
at84_ftv55,,5.0,11.0,,36.3636,11.0,7.0,648741,7200,7200.02,,
t62_brazil58,,3.0,6.0,,16.6667,6.0,5.0,15534631,7200,7200.06,,
t62_fri26,,5.0,6.0,,0.0,6.0,6.0,158,7200,1.85,,
at84_ftv44,,6.0,10.0,,0.0,9.0,9.0,1007542,7200,6617.16,,
at84_ft53,,3.0,10.0,,40.0,10.0,6.0,2166224,7200,7200.02,,
t84_kroE100,,5.13712,11.0,,45.4545,11.0,6.0,17521,7200,7200.07,,
t62_kroC100,,3.33333,7.0,,28.5714,7.0,5.0,461929,7200,7200.14,,
at62_br17,,,5.0,,0.0,5.0,5.0,1,7200,0.07,,
t84_rd100,,5.2277,11.0,,45.4545,11.0,6.0,4416,7200,7200.06,,
t84_att48,,6.0,9.0,,0.0,8.0,8.0,186278,7200,1010.37,,
t84_bayg29,,7.0,10.0,,0.0,8.0,8.0,5969,7200,17.15,,
at84_br17,,,6.0,,0.0,6.0,6.0,1,7200,0.01,,
t62_kroD100,,3.04207,7.0,,28.5714,7.0,5.0,1541628,7200,7200.09,,
